lossfunc,kernel,decay,ngram,skip,learning_rate,pred_thresh,ACC,PRE,REC,PRF,ROC
hinge,--boosting=25,1,2,2,10,0.500000,0.90292,0.42600,0.69742,0.52892,0.80888
hinge,--boosting=25,1,2,2,10,0.750000,0.90292,0.42600,0.69742,0.52892,0.80888
hinge,--boosting=25,1,2,2,10,0.900000,0.90292,0.42600,0.69742,0.52892,0.80888
hinge,--boosting=25,1,2,2,10,0.990000,0.90292,0.42600,0.69742,0.52892,0.80888
hinge,--boosting=25,1,2,2,5,0.500000,0.90754,0.44317,0.71464,0.54708,0.81926
hinge,--boosting=25,1,2,2,5,0.750000,0.90754,0.44317,0.71464,0.54708,0.81926
hinge,--boosting=25,1,2,2,5,0.900000,0.90754,0.44317,0.71464,0.54708,0.81926
hinge,--boosting=25,1,2,2,5,0.990000,0.90754,0.44317,0.71464,0.54708,0.81926
hinge,--boosting=25,1,2,2,1,0.500000,0.88908,0.39078,0.75031,0.51390,0.82558
hinge,--boosting=25,1,2,2,1,0.750000,0.88908,0.39078,0.75031,0.51390,0.82558
hinge,--boosting=25,1,2,2,1,0.900000,0.88908,0.39078,0.75031,0.51390,0.82558
hinge,--boosting=25,1,2,2,1,0.990000,0.88908,0.39078,0.75031,0.51390,0.82558
hinge,--boosting=25,1,2,2,0.75,0.500000,0.89898,0.41894,0.75646,0.53924,0.83376
hinge,--boosting=25,1,2,2,0.75,0.750000,0.89898,0.41894,0.75646,0.53924,0.83376
hinge,--boosting=25,1,2,2,0.75,0.900000,0.89898,0.41894,0.75646,0.53924,0.83376
hinge,--boosting=25,1,2,2,0.75,0.990000,0.89898,0.41894,0.75646,0.53924,0.83376
hinge,--boosting=25,1,2,2,0.5,0.500000,0.88245,0.37898,0.78967,0.51217,0.83999
hinge,--boosting=25,1,2,2,0.5,0.750000,0.88245,0.37898,0.78967,0.51217,0.83999
hinge,--boosting=25,1,2,2,0.5,0.900000,0.88245,0.37898,0.78967,0.51217,0.83999
hinge,--boosting=25,1,2,2,0.5,0.990000,0.88245,0.37898,0.78967,0.51217,0.83999
hinge,--boosting=25,1,2,2,0.1,0.500000,0.07891,0.07820,1.00000,0.14506,0.50042
hinge,--boosting=25,1,2,2,0.1,0.750000,0.07891,0.07820,1.00000,0.14506,0.50042
hinge,--boosting=25,1,2,2,0.1,0.900000,0.07891,0.07820,1.00000,0.14506,0.50042
hinge,--boosting=25,1,2,2,0.1,0.990000,0.07891,0.07820,1.00000,0.14506,0.50042
hinge,--boosting=25,1,2,2,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.990000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,10,0.500000,0.91705,0.47878,0.69373,0.56655,0.81485
hinge,--boosting=25,1,2,2,10,0.750000,0.91705,0.47878,0.69373,0.56655,0.81485
hinge,--boosting=25,1,2,2,10,0.900000,0.91705,0.47878,0.69373,0.56655,0.81485
hinge,--boosting=25,1,2,2,10,0.990000,0.91705,0.47878,0.69373,0.56655,0.81485
hinge,--boosting=25,1,2,2,5,0.500000,0.91984,0.49109,0.71218,0.58133,0.82481
hinge,--boosting=25,1,2,2,5,0.750000,0.91984,0.49109,0.71218,0.58133,0.82481
hinge,--boosting=25,1,2,2,5,0.900000,0.91984,0.49109,0.71218,0.58133,0.82481
hinge,--boosting=25,1,2,2,5,0.990000,0.91984,0.49109,0.71218,0.58133,0.82481
hinge,--boosting=25,1,2,2,1,0.500000,0.91340,0.46631,0.74908,0.57480,0.83820
hinge,--boosting=25,1,2,2,1,0.750000,0.91340,0.46631,0.74908,0.57480,0.83820
hinge,--boosting=25,1,2,2,1,0.900000,0.91340,0.46631,0.74908,0.57480,0.83820
hinge,--boosting=25,1,2,2,1,0.990000,0.91340,0.46631,0.74908,0.57480,0.83820
hinge,--boosting=25,1,2,2,0.75,0.500000,0.91196,0.46119,0.75277,0.57196,0.83911
hinge,--boosting=25,1,2,2,0.75,0.750000,0.91196,0.46119,0.75277,0.57196,0.83911
hinge,--boosting=25,1,2,2,0.75,0.900000,0.91196,0.46119,0.75277,0.57196,0.83911
hinge,--boosting=25,1,2,2,0.75,0.990000,0.91196,0.46119,0.75277,0.57196,0.83911
hinge,--boosting=25,1,2,2,0.5,0.500000,0.90648,0.44278,0.76138,0.55993,0.84008
hinge,--boosting=25,1,2,2,0.5,0.750000,0.90648,0.44278,0.76138,0.55993,0.84008
hinge,--boosting=25,1,2,2,0.5,0.900000,0.90648,0.44278,0.76138,0.55993,0.84008
hinge,--boosting=25,1,2,2,0.5,0.990000,0.90648,0.44278,0.76138,0.55993,0.84008
hinge,--boosting=25,1,2,2,0.1,0.500000,0.38927,0.10918,0.95203,0.19590,0.64680
hinge,--boosting=25,1,2,2,0.1,0.750000,0.38927,0.10918,0.95203,0.19590,0.64680
hinge,--boosting=25,1,2,2,0.1,0.900000,0.38927,0.10918,0.95203,0.19590,0.64680
hinge,--boosting=25,1,2,2,0.1,0.990000,0.38927,0.10918,0.95203,0.19590,0.64680
hinge,--boosting=25,1,2,2,0.01,0.500000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.750000,0.07814,0.07814,1.00000,0.14496,0.50000
hinge,--boosting=25,1,2,2,0.01,0.900000,0.07814,0.07814,1.00000,0.14496,0.50000
